variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast
GARIN4,12.069703350746352,0.6439365243807486,0.8575925827654497,0.7508653145113129,0.452733716714105,0.9998724362712248,Th1
CDK14,56.056889278381895,0.4903670077752809,0.6578125590622149,0.7454509662666728,0.4559991430120339,0.9998724362712248,Th1
SRSF2,23710.52121297037,-0.1040090550396656,0.1399609050013354,-0.7431293405731639,0.457403377493413,0.9998724362712248,Th1
ATF3,2763.2254966958444,0.2133608409730239,0.2875897916916064,0.7418929570414617,0.4581521933540461,0.9998724362712248,Th1
SMTNL2,5.327121598722464,-0.6986273551119981,0.9740794483011872,-0.7172180424609279,0.4732395681973034,0.9998724362712248,Th1
SANBR,1248.266445131579,-0.1367184863077007,0.192147305359376,-0.7115295530790512,0.4767561440676787,0.9998724362712248,Th1
SEC61G,10080.43771957988,-0.0944451630192112,0.1333096844928203,-0.7084643803526351,0.4786569244494779,0.9998724362712248,Th1
GOT1,4570.901773204206,0.1082269802143436,0.1545356136815253,0.7003368196885876,0.4837169827000803,0.9998724362712248,Th1
CRACR2B,339.0974519901924,-0.2018558922272892,0.2928357446586404,-0.6893143883872282,0.4906254453057909,0.9998724362712248,Th1
RBM17,26842.332925482307,-0.1078837342419309,0.1604481015544671,-0.67239021962069,0.5013353075295831,0.9998724362712248,Th1
PRMT3,5418.975925449806,0.0889030421232794,0.1375596945676589,0.6462869985477641,0.5180935063043441,0.9998724362712248,Th1
FIBP,17153.321204858923,-0.0522323159734595,0.0821155216617714,-0.636083348390589,0.5247220981756762,0.9998724362712248,Th1
CYB5R4,13403.284819592747,-0.0645096501340281,0.1019493567901593,-0.6327617178282674,0.5268892595591477,0.9998724362712248,Th1
RNASEL,1313.4399964204024,0.1260636604466211,0.2009523517889764,0.6273311027432152,0.5304422195973426,0.9998724362712248,Th1
PLAAT2,40.86116714850404,-0.3027448989422954,0.4865573184645718,-0.6222183645241779,0.5337982920089621,0.9998724362712248,Th1
NDUFS6,8947.807899071842,0.069221523270958,0.1115796529788502,0.6203776532991985,0.5350091812322522,0.9998724362712248,Th1
PYCR3,988.1685647238384,-0.0964003661068829,0.157707157538005,-0.6112618324482317,0.5410262545374629,0.9998724362712248,Th1
QTRT2,3261.594829402544,-0.0614336820802287,0.1012176841708685,-0.6069461338052425,0.5438866604717737,0.9998724362712248,Th1
ELAVL3,1.5275953315836708,-0.8571770776543839,1.4127114962564864,-0.606760177096172,0.5440100797308983,,Th1
TAF1B,2292.795754981784,-0.0748581231276077,0.1248845780653432,-0.5994184733397568,0.5488938610796127,0.9998724362712248,Th1
AMN,11.4957042452009,0.3617673606680689,0.6064530334192537,0.5965298889320115,0.5508212928371259,0.9998724362712248,Th1
RBM3,20622.118099554373,-0.1028489321415938,0.1728619690228725,-0.5949772105626377,0.5518587045323575,0.9998724362712248,Th1
C6orf136,4141.828848967562,0.0317560288495719,0.055079283581653,0.576551232778741,0.5642426510490921,0.9998724362712248,Th1
TAF1D,19008.729001556727,-0.0654997510191147,0.1140363271316006,-0.5743761892955955,0.5657132620050536,0.9998724362712248,Th1
DMWD,4216.432734971927,-0.0680910026340384,0.1200514144993031,-0.5671820104579747,0.570590528932989,0.9998724362712248,Th1
CD274,1875.232863354031,0.083432871739575,0.1514665880816877,0.5508335058988635,0.5817478132103228,0.9998724362712248,Th1
CEACAM19,73.03832804841028,-0.2166601125392079,0.4061679334675025,-0.5334249572327276,0.5937394451429664,0.9998724362712248,Th1
PRR33,1.5354563538063966,0.8821586127001682,1.6554959300894443,0.5328666755783001,0.594125874857117,,Th1
